Date,Search Interest,Brand
2012-01-01,64,Stuart Weitzman
2012-02-01,57,Stuart Weitzman
2012-03-01,52,Stuart Weitzman
2012-04-01,51,Stuart Weitzman
2012-05-01,47,Stuart Weitzman
2012-06-01,48,Stuart Weitzman
2012-07-01,47,Stuart Weitzman
2012-08-01,68,Stuart Weitzman
2012-09-01,56,Stuart Weitzman
2012-10-01,55,Stuart Weitzman
2012-11-01,57,Stuart Weitzman
2012-12-01,60,Stuart Weitzman
2013-01-01,51,Stuart Weitzman
2013-02-01,52,Stuart Weitzman
2013-03-01,47,Stuart Weitzman
2013-04-01,49,Stuart Weitzman
2013-05-01,43,Stuart Weitzman
2013-06-01,45,Stuart Weitzman
2013-07-01,47,Stuart Weitzman
2013-08-01,54,Stuart Weitzman
2013-09-01,66,Stuart Weitzman
2013-10-01,67,Stuart Weitzman
2013-11-01,67,Stuart Weitzman
2013-12-01,67,Stuart Weitzman
2014-01-01,58,Stuart Weitzman
2014-02-01,50,Stuart Weitzman
2014-03-01,54,Stuart Weitzman
2014-04-01,57,Stuart Weitzman
2014-05-01,50,Stuart Weitzman
2014-06-01,48,Stuart Weitzman
2014-07-01,56,Stuart Weitzman
2014-08-01,56,Stuart Weitzman
2014-09-01,54,Stuart Weitzman
2014-10-01,66,Stuart Weitzman
2014-11-01,73,Stuart Weitzman
2014-12-01,67,Stuart Weitzman
2015-01-01,73,Stuart Weitzman
2015-02-01,56,Stuart Weitzman
2015-03-01,57,Stuart Weitzman
2015-04-01,55,Stuart Weitzman
2015-05-01,48,Stuart Weitzman
2015-06-01,56,Stuart Weitzman
2015-07-01,57,Stuart Weitzman
2015-08-01,54,Stuart Weitzman
2015-09-01,70,Stuart Weitzman
2015-10-01,69,Stuart Weitzman
2015-11-01,89,Stuart Weitzman
2015-12-01,100,Stuart Weitzman
2016-01-01,80,Stuart Weitzman
2016-02-01,60,Stuart Weitzman
2016-03-01,54,Stuart Weitzman
2016-04-01,54,Stuart Weitzman
2016-05-01,53,Stuart Weitzman
2016-06-01,51,Stuart Weitzman
2016-07-01,55,Stuart Weitzman
2016-08-01,53,Stuart Weitzman
2016-09-01,66,Stuart Weitzman
2016-10-01,86,Stuart Weitzman
2016-11-01,7,Stuart Weitzman
2016-12-01,<1,Stuart Weitzman
2017-01-01,0,Stuart Weitzman
2017-02-01,0,Stuart Weitzman
2017-03-01,0,Stuart Weitzman
2017-04-01,0,Stuart Weitzman
2017-05-01,0,Stuart Weitzman
2017-06-01,0,Stuart Weitzman
2017-07-01,0,Stuart Weitzman
2017-08-01,0,Stuart Weitzman
2017-09-01,0,Stuart Weitzman
2017-10-01,0,Stuart Weitzman
2017-11-01,0,Stuart Weitzman
2017-12-01,0,Stuart Weitzman
2018-01-01,0,Stuart Weitzman
2018-02-01,0,Stuart Weitzman
2018-03-01,0,Stuart Weitzman
2018-04-01,0,Stuart Weitzman
2018-05-01,0,Stuart Weitzman
2018-06-01,0,Stuart Weitzman
2018-07-01,0,Stuart Weitzman
2018-08-01,0,Stuart Weitzman
2018-09-01,4,Stuart Weitzman
2018-10-01,4,Stuart Weitzman
2018-11-01,0,Stuart Weitzman
2018-12-01,0,Stuart Weitzman
2019-01-01,0,Stuart Weitzman
2019-02-01,0,Stuart Weitzman
2019-03-01,0,Stuart Weitzman
2019-04-01,0,Stuart Weitzman
2019-05-01,0,Stuart Weitzman
2019-06-01,0,Stuart Weitzman
2019-07-01,0,Stuart Weitzman
2019-08-01,0,Stuart Weitzman
2019-09-01,0,Stuart Weitzman
2019-10-01,0,Stuart Weitzman
2019-11-01,0,Stuart Weitzman
2019-12-01,0,Stuart Weitzman
2020-01-01,0,Stuart Weitzman
2020-02-01,0,Stuart Weitzman
2020-03-01,0,Stuart Weitzman
2020-04-01,0,Stuart Weitzman
2020-05-01,0,Stuart Weitzman
2020-06-01,0,Stuart Weitzman
2020-07-01,0,Stuart Weitzman
2020-08-01,0,Stuart Weitzman
2020-09-01,0,Stuart Weitzman
2020-10-01,0,Stuart Weitzman
2020-11-01,0,Stuart Weitzman
2020-12-01,0,Stuart Weitzman
2021-01-01,0,Stuart Weitzman
2021-02-01,2,Stuart Weitzman
2021-03-01,3,Stuart Weitzman
2021-04-01,3,Stuart Weitzman
2021-05-01,2,Stuart Weitzman
2021-06-01,3,Stuart Weitzman
2021-07-01,7,Stuart Weitzman
2021-08-01,25,Stuart Weitzman
2021-09-01,42,Stuart Weitzman
2021-10-01,58,Stuart Weitzman
2021-11-01,72,Stuart Weitzman
2021-12-01,66,Stuart Weitzman
2022-01-01,39,Stuart Weitzman
2022-02-01,48,Stuart Weitzman
2022-03-01,51,Stuart Weitzman
2022-04-01,49,Stuart Weitzman
2022-05-01,46,Stuart Weitzman
2022-06-01,42,Stuart Weitzman
2022-07-01,42,Stuart Weitzman
2022-08-01,44,Stuart Weitzman
2022-09-01,48,Stuart Weitzman
2022-10-01,64,Stuart Weitzman
2022-11-01,88,Stuart Weitzman
2022-12-01,68,Stuart Weitzman
2023-01-01,49,Stuart Weitzman
2023-02-01,44,Stuart Weitzman
2023-03-01,42,Stuart Weitzman
2023-04-01,40,Stuart Weitzman
2023-05-01,42,Stuart Weitzman
2023-06-01,35,Stuart Weitzman
2023-07-01,39,Stuart Weitzman
2023-08-01,38,Stuart Weitzman
2023-09-01,55,Stuart Weitzman
2023-10-01,61,Stuart Weitzman
2023-11-01,85,Stuart Weitzman
2023-12-01,67,Stuart Weitzman
2024-01-01,50,Stuart Weitzman
